observation_date,NEWORDER
2008-10-01,59330
2008-11-01,60759
2008-12-01,55512
2009-01-01,49530
2009-02-01,50163
2009-03-01,49254
2009-04-01,47096
2009-05-01,48652
2009-06-01,50533
2009-07-01,50984
2009-08-01,49900
2009-09-01,53034
2009-10-01,51978
2009-11-01,52771
2009-12-01,54616
2010-01-01,52331
2010-02-01,53488
2010-03-01,56487
2010-04-01,52283
2010-05-01,57262
2010-06-01,59605
2010-07-01,56474
2010-08-01,58224
2010-09-01,60134
2010-10-01,57479
2010-11-01,60405
2010-12-01,61939
2011-01-01,60963
2011-02-01,59078
2011-03-01,62497
2011-04-01,61562
2011-05-01,63711
2011-06-01,63751
2011-07-01,64756
2011-08-01,64464
2011-09-01,65581
2011-10-01,67427
2011-11-01,64660
2011-12-01,68881
2012-01-01,67759
2012-02-01,69871
2012-03-01,69588
2012-04-01,67748
2012-05-01,69366
2012-06-01,67472
2012-07-01,64632
2012-08-01,63442
2012-09-01,63889
2012-10-01,66105
2012-11-01,66517
2012-12-01,66461
2013-01-01,69997
2013-02-01,66200
2013-03-01,65912
2013-04-01,68004
2013-05-01,69403
2013-06-01,69488
2013-07-01,66145
2013-08-01,65823
2013-09-01,66407
2013-10-01,64938
2013-11-01,68543
2013-12-01,67450
2014-01-01,68220
2014-02-01,67242
2014-03-01,68307
2014-04-01,66609
2014-05-01,66190
2014-06-01,69601
2014-07-01,67576
2014-08-01,68308
2014-09-01,69348
2014-10-01,65795
2014-11-01,63881
2014-12-01,65942
2015-01-01,65003
2015-02-01,64079
2015-03-01,64697
2015-04-01,64277
2015-05-01,62586
2015-06-01,63781
2015-07-01,63488
2015-08-01,63085
2015-09-01,63266
2015-10-01,63436
2015-11-01,62050
2015-12-01,60173
2016-01-01,61843
2016-02-01,61082
2016-03-01,60644
2016-04-01,61212
2016-05-01,59387
2016-06-01,59332
2016-07-01,59776
2016-08-01,61486
2016-09-01,59489
2016-10-01,59280
2016-11-01,59445
2016-12-01,59590
2017-01-01,60577
2017-02-01,60784
2017-03-01,61217
2017-04-01,61377
2017-05-01,61264
2017-06-01,60282
2017-07-01,61172
2017-08-01,61455
2017-09-01,63738
2017-10-01,63809
2017-11-01,63830
2017-12-01,63706
2018-01-01,63684
2018-02-01,65569
2018-03-01,64151
2018-04-01,65251
2018-05-01,66616
2018-06-01,67716
2018-07-01,68233
2018-08-01,67133
2018-09-01,67190
2018-10-01,67696
2018-11-01,65849
2018-12-01,65602
2019-01-01,66871
2019-02-01,67105
2019-03-01,67592
2019-04-01,66858
2019-05-01,66531
2019-06-01,66127
2019-07-01,65540
2019-08-01,65802
2019-09-01,64927
2019-10-01,64707
2019-11-01,63883
2019-12-01,62742
2020-01-01,61781
2020-02-01,61226
2020-03-01,60644
2020-04-01,54973
2020-05-01,55989
2020-06-01,58274
2020-07-01,59349
2020-08-01,60089
2020-09-01,61549
2020-10-01,62244
2020-11-01,62271
2020-12-01,63538
2021-01-01,64828
2021-02-01,65160
2021-03-01,66492
2021-04-01,67997
2021-05-01,66306
2021-06-01,67907
2021-07-01,68136
2021-08-01,68855
2021-09-01,68790
2021-10-01,69980
2021-11-01,70208
2021-12-01,71196
2022-01-01,70690
2022-02-01,71106
2022-03-01,72013
2022-04-01,71879
2022-05-01,72280
2022-06-01,72817
2022-07-01,72981
2022-08-01,73898
2022-09-01,72699
2022-10-01,73124
2022-11-01,72611
2022-12-01,72932
2023-01-01,73784
2023-02-01,73429
2023-03-01,73044
2023-04-01,73686
2023-05-01,73675
2023-06-01,73737
2023-07-01,73093
2023-08-01,73763
2023-09-01,73963
2023-10-01,73223
2023-11-01,73522
2023-12-01,73992
2024-01-01,73527
2024-02-01,73929
2024-03-01,73774
2024-04-01,73940
2024-05-01,73284
2024-06-01,73690
2024-07-01,73482
2024-08-01,73632
2024-09-01,73855
2024-10-01,73764
2024-11-01,74365
2024-12-01,74658
